lat,long,name,phone_1,phone_2,address,health,human,tech,material,subcategory,description,hours,verified,link
47.614588,-122.342159,DOWNTOWN Robert Clewis Center,206-263-2000,,2124 4th Ave (4th & Blanchard in Belltown),TRUE,,,,Harm Reduction,"Walk-ins welcome! Abscess treatment and care, HIV/hepatitis testing and counseling, Hepatitis A and B vaccinations, Colds and upper respiratory infections, TB screening, Narcan available","Mon-Fri:1:00-5:00 pm, Sat:2:00-4:00 pm",Verified 6/16,http://www.kingcounty.gov/healthservices/health/communicable/hiv/resources/needle.aspx
47.659797,-122.313183,U. District Needle Exchange,206-330-5777,,"NE 43rd & Univ. Way NE, Seattle, WA 98145",TRUE,,,,Harm Reduction,"Hypodermic needles can be exchanged for free at the table in the alley behind the U. District Post office (1/2 block east of University Way NE — 'The Ave' — just south of 43rd Street), operated by the People's Harm Reduction Alliance. Also condoms, AIDS information.","Mon: 5pm – 7pm, Tue: 5pm – 7pm (All Female Staff), Thu: 5pm – 7pm, Fri: 1pm – 5pm, Sun: 1pm – 5pm",Verified 6/16,http://www.kingcounty.gov/healthservices/health/communicable/hiv/resources/needle.aspx
47.612763,-122.318398,CAPITOL HILL Robert Clewis Center 2,206-263-2000,,1161 11th Ave(between Madison & Union),TRUE,,,,Harm Reduction,,Mon-Sat: 5:30pm - 8:30pm,Verified 6/16,http://www.kingcounty.gov/healthservices/health/communicable/hiv/resources/needle.aspx
47.608603,-122.325257,ABLE Care Clinic,206-458-2556,,"Cabrini Tower, 901 Boren Ave, Suite 701; Seattle, WA 98104",TRUE,,,,Mental,"Low cost counseling services provided by supervised student interns. Available for individuals who are underinsured, uninsured or do not have the means to afford therapy. Counseling is available for adults, couples, teens, and families who are experiencing anxiety, depression, grief/loss, life transitions and more. By appointment only.",,Verified 10/2014,http://www.ableseattle.com/
47.589385,-122.304477,Atlantic Street Center,206-329-2050,,2103 S. Atlantic St.; Seattle 98144,TRUE,,,,Mental,"Programs for low-income children, youth and families of color in Seattle’s central and southeast neighborhoods. Therapists provide mental health counseling for youth and families dealing with difficult issues: depression, divorce, trauma recovery, unstable life situations, domestic violence, loss and abuse. Atlantic Street Center services are free to participants. ",,Verified 03/2013,http://www.atlanticstreet.org/
47.615431,-122.328215,Seattle Counseling Service,206-323-1768,,"1216 Pine St., Suite 300; Seattle, WA 98101",TRUE,,,,Mental,"Mental health services for the LGBT community, adults and youth. Sliding scale, medical coupons accepted. After hours, call the Crisis Line, 1-866-4CRISIS (1-866-427-4747).",,Verified 03/2013,http://www.seattlecounseling.org/
47.661859,-122.311639,University District Youth Center,206-526-2992 ,,"4516 15th Avenue NE; Seattle, WA 98105",TRUE,,,,Mental,"On-site individual mental health, drug, and alcohol counseling for at-risk, runaway, homeless and street-involved youth, 13-22. All services free by appointment. ",,Verified 03/2013,http://www.ccsww.org/site/PageServer?pagename=homeless_udyc
47.711101,-122.317398,Northwest Family Life ,206-363-9601,,"11320 Roosevelt Way NE; Seattle, WA 98125",TRUE,,,,Mental,"Counseling for individuals, couples, groups. Sliding scale available. This is a Christian faith-based organization with a particular emphasis on domestic violence.",,Verified 03/2013,http://www.northwestfamilylife.org/
47.570878,-122.297415,ACRS,206-695-7600,,"3639 Martin Luther King Jr. Way S; Seattle, WA 98144",TRUE,,,,Mental,"Formerly Asian Counseling and Referral Service. Variety of mental health services including case management and psychiatric evaluation. Medicaid, Basic Health, and selected private insurances, including Group Health, Molina and Regence Blue Shields. Sliding scale, free to those who meet income guidelines. Also has an office in Bellevue.",,Verified 03/2013,http://www.acrs.org/index.htm
47.597147,-122.317952,Seattle Indian Health Board,206-324-9360 ,,"611 12th Avenue S., Suite 200; Seattle, WA 98144 (The Leschi Center)",TRUE,,,,Mental,"ndividual, couples and family counseling, crisis intervention, medications, and medication management and evaluation. Medicaid and Medicare, public and private insurance accepted, sliding scale. ",,Verified 03/2013,http://www.sihb.org/
47.654427,-122.311603,University of Washington Center for Anxiety and Traumatic Stress,206-685-3617 ,,"Guthrie Annex II, 2nd Floor; University of Washington",TRUE,,,,Mental,"This program has a federal grant through 2015 to conduct research and treatment for post-traumatic stress disorder (PTSD). Because they receive funding for their research, they are able to offer no-cost services to eligible individuals who are experiencing trauma-related problems. Individuals who are 18 years or older may be eligible for this research study that offers 10 weeks of counseling or counseling plus medication. For more information, call 206-685-3617 or visit website http://www.ptsdoptions.com. ",,Verified 03/2013,http://faculty.washington.edu/zoellner/
47.6007037,-122.3352928,Compass Housing Alliance ,206-357-3100,Extensions: 1-Housing; 2-Banking; 3-Hygiene; 4-Donation; 5-Other,"77 S. Washington, Seattle, WA 98104",,TRUE,,,Homeless,"Mail, banking, message phone for homeless, ""protective payee"", hygiene center (shower and toilets). Transitional housing and some permanent low income housing units for adults and families. Showers and laundry offered from 7 a.m. - 2:30 p.m. Call for other services: schedules vary. ",,Verified 02/2014,http://www.compasshousingalliance.org/
47.5940196,-122.3106418,PETER’S PLACE,206-474-1630,,"901 Rainier Ave S, Seattle, WA 98144",,TRUE,,,Homeless,"People can seek refuge, meals and basic services as well as connect with case management, entitlements and other benefits, mental health counseling and nursing services. ",,,http://www.compasshousingalliance.org/what-we-do-top/day-services/peters-place/
47.6023952,-122.331355,Downtown Emergency Service Center (DESC),206-464-1570,,"515 Third Avenue, Seattle, WA 98104",,TRUE,,,Homeless,"Women age 18+ (no minors) and men 60+ are welcome. Men 18-59 only if severely disabled, mentally ill, physically or developmentally disabled, medically/physically compromised, chemically dependent (and working with a counselor). Free mental health screening/referrals; free mail service for night shelter residents; non-12-step support and shelter referrals for chemically dependent homeless. Open for day services 7:30 a.m. - 5 p.m. Night shelter for priority clients.",,Verified 02/2014,http://desc.org/
47.6013805,-122.3311724,Lazarus Day Center,206-623-7219,,"416 Second Ave Ext S., Seattle, WA 98104",,TRUE,,,Homeless,"Provides safe daytime shelter and services for homeless and low-income men and women aged 50 and older, including meals, snacks, haircuts, clothing, laundry facilities and showers, library, drug and alcohol counseling. 1 p.m. – 6:30 p.m. 7 days a week. Transportation provided to St. Martin De Porres Shelter upon approval. ",,,
47.6012178,-122.331164,Chief Seattle Club,206-292-6214,,"410 Second Ave. Ext S., Seattle",,TRUE,,,Homeless,"""A sacred space for homeless and at-risk American Indian and Alaska Native people."" Must be Alaska Native or American Indian with Tribal ID.Member services Monday-Friday 7 a.m. - 2 p.m. Nutritious breakfast; showers, laundry, clothing, access to health care, drug, and alcohol treatment.
Also financial assistance, housing, medical, clothing, and utilities: call for details. ",,,
47.613027,-122.3415698,YWCA,206-436-8600 extension 0,,"2024 Third Ave; Seattle, WA 98121",,TRUE,,,Homeless,"WorkSource Opportunity Place : Job listings, other job search help, including access to phone, computer, job-hunting workshops & classes. Monday-Friday 8:30 a.m. - 5 p.m.",,Verified 02/2014,http://www.ywcaworks.org/page.aspx?pid=438
47.600506,-122.3332236,Food Not Bombs,206-729-0384 (please leave a message),,Occidental Park,,,,TRUE,Food,Vegetarian dinner served every Sunday approximately 4 pm in Occidental Park (in the Pioneer Square neighborhood). Usually also has free produce and bread.,Sun: Approximately 4pm,Verified 01/2016,http://www.scn.org/activism/foodnotbombs/
47.6140571,-122.350239,Millionair Club Charity,206-728-JOBS,206-728-5627,"2515 Western Ave.; Seattle, WA 98121",,,,TRUE,Food,,"Mon-Sat: 6:15 am - 7 am, Mon-Fri: 12 noon - 1:30 pm, Closed Sundays.",Verified 01/2016,http://www.millionairclub.org/
47.6664313,-122.3190412,Blessed Sacrament Church,206-547-3020,,"5050 Eighth NE, Seattle 98105",,,,TRUE,Food,"Food baskets with ID Friday 10:30 am - 12 noon. For food baskets, must have ID demonstrating residency in area bounded by the Ship Canal/ Lake Union, First Ave NE, 20th Ave NE, and NE 70th Street. Bus routes 66-67. ","Meal Sunday, 12 noon - 2 pm at Parish Hall on 8th Avenue side of building, open to all.",Verified 01/2016,
47.620641,-122.3320707,Immanuel Lutheran,206-622-1930 ,,"1215 Thomas St., Seattle 98109",,,,TRUE,Food,Community meal last Sunday of each month at 12 noon. ,,Verified 01/2016,http://www.immanuelseattle.org/
47.5971472,122.3179521,Seattle Indian Center,206-329-8700,,"611 12th Ave. S., Suite 300, Seattle 98144",,,,TRUE,Food,Open to people of all ethnicities.,"Breakfast Mon-Fri: 9:30 am - 11:00 am, Lunch Mon-Fri: 12 noon - 1:15 pm, Food Bank Tuesday & Thursday 1:30 pm – 3:30 pm",Verified 01/2016,http://www.seattleindiancenter.us/
47.6688384,-122.354731,Phinney Neighborhood Soup Kitchen,206-784-1040,,"St. John's Lutheran Church, 5515 Phinney Ave. N., Seattle 98103",,,,TRUE,Food,"Monday dinner. Doors open 4 pm, dinner 5 pm - 6pm.
Free meals at St. John's Lutheran Church (across from Woodland Park Zoo, on #5 bus route). Open to all, all are welcome.","Tuesday dinner. Doors open 4 pm, dinner 5 pm - 6pm, Wednesday lunch. Doors open 11 am, lunch 12 noon - 1pm.",Verified 01/2016,
47.6168205,-122.3177578,Community Lunch on Capitol Hill,206-484-7427 ,,"1710 11th Ave Seattle, WA 98122",,,,TRUE,Food,"Open to all, all are welcome.","Lunch Tuesday & Friday, 12 noon – 1 pm",Verified 01/2016,http://www.communitylunch.org/
47.62336,-122.320377,Community Lunch on Capitol Hill,206-484-7428,,"500 Broadway East (entrance is on Republican); Seattle, WA 98102",,,,TRUE,Food,"Open to all, all are welcome.",Dinner Wednesday and Thursday 5 pm – 6 pm,Verified 01/2016,http://www.communitylunch.org/
47.6592443,-122.3123559,ROOTS Young Adult Shelter,206-632-5163 (voice mail),,"1415 NE 43rd Street; Seattle, WA 98105",,,,TRUE,Food,"""Friday Feast"". Go downstairs at University Methodist Temple Church, enter via the alley behind the post office through the blue doors at the south end of the church. Unlike other ROOTS activities and services, this is open to all ages. ",Fridays 5:30 pm - 7:00 pm,Verified 01/2016,http://www.rootsinfo.org/
47.6005433,-122.3305826,Union Gospel Mission,206-622-5177,,"318 Second Ave. Ext. S; Seattle, WA 98104",,,,TRUE,Food,,"Breakfast Everyday 7:30 am 9:00 am, Lunch Monday-Saturday 11:30 am - 12:30 pm, Dinner Everyday 5:30-6:30 pm",Verified 01/2016,http://www.ugm.org/
47.5999035,-122.3345959,Bread of Life Mission,206-682-3579,,"97 South Main Street; Seattle, WA 98104",,,,TRUE,Food,"""All welcome"" For over night stays: $5 fee + valid ID required, men age 18+ only
Doors close at 8:15 pm.","Coffee and assorted snacks Monday-Friday, 9:30 am - 3 pm, Lunch Monday-Friday, 12:15 pm - 1 pm, Chapel 6:30-7:10 pm (Tue.-Sat.), Dinner (Mon. 6:30 pm; Tue-Sat 7:15 pm), Overnight bed sign-up from 5:30-6:15 pm and 8:00-8:15 pm",,http://www.breadoflifemission.org/
47.615495,-122.307145,The Helping House,206-322-6500,,"1604 19th Ave., Seattle, WA 98122",,,,TRUE,Clothing,"Free new and clean gently used clothing for women, men, teens, children and infants. All occasions - dress, school, casual and professional wear for work or office. Shoes, coats, hats and household items also available.  ",1st and 3rd Saturdays of each month from 11:00 a.m. to 1:00 p.m.,Verified 09/2014,http://mountzionseattle.org/index.php?l=147&id=28
47.6271776,-122.3686664,CityTeam Ministries ,206-352-1300,,"904 Elliott Ave. W, Seattle 98119",,,,TRUE,Clothing,Available to women & children by appointment only. Available to men in the evenings during shelter hours.  ,,Verified 1/07,http://www.cityteam.org/
47.661859,-122.311639,University District Youth Center,206-526-2992 ,,"4516 15th Avenue NE, 98105",,,,TRUE,Clothing,Open to youth ages 13-22 only.,,Verified 1/07,
47.6005433,-122.3305826,Union Gospel Mission,206-622-5177,,"318 Second Ave. Ext. S; Seattle, WA 98104",,,,TRUE,Clothing,Men only clothing service.,"Apply for voucher Mon-Sat before 11:00am, Clothing pick-up between 1:30-2:30 pm",Verified 1/07,http://www.ugm.org/
47.6033542,-122.3171049,St. Francis House,206-621-0945,,"169 12th Ave., Seattle 98122",,,,TRUE,Clothing,"Furniture, household goods, and clothing. ID required.",Mon-Fri: 10 am - 2:30 pm,Verified 1/07,
47.5998691,-122.3137792,Operation Nightwatch Emergency Shelter,206-329-2099 (after 8:00 pm) ,206-323-4359 daytime M-F,"302 14th Ave S, Seattle, WA 98144",,,,TRUE,Shelter,"Nighttime drop-in center at 302 14th Avenue South (between Yesler & Jackson on the corner of 14th and Main). Open nights, not days. Screening and referrals done every night starting 9pm until midnight. Please do not arrive early. Age 18 and over only.  Operation Nightwatch no longer is able to assist families with children.

Men who do not already have a valid ticket from Operation Nightwatch must have a referral ticket from the Downtown Emergency Service Center, 507 3rd Ave Seattle, or Bread of Life Mission, 97 South Main Street. Please check with these agencies for distribution times and availability.

Referrals are not required for women. ",,Verified 03/2014,http://www.seattlenightwatch.org/
47.6023952,-122.331355,Downtown Emergency Service Center (DESC),206-464-1570,,"515 Third Avenue, Seattle, WA 98104",,,,TRUE,Shelter,"Rather than providing shelter on a first-come-first-served model, DESC uses a Vulnerability Assessment and tries to serve those evaluated as most vulnerable.
Information and referral drop-in hours Monday-Friday 9-11 a.m. and 2-4 p.m.

The DESC Emergency Shelter serves women age 18+ and men age 60+. Men 18-59 are also served if severely disabled, mentally ill, physically or developmentally disabled, medically/physically compromised, or chemically dependent (and working with a counselor). DESC also offers a daytime program (7:00 a.m. to 7:00 p.m) and manages eleven supportive housing projects. ",,Verified 03/2014,http://www.desc.org/
47.5889358,-122.3389843,Saint Martin dePorres Shelter,206-323-6341,,"1561 Alaskan Way S, Seattle 98134",,,,TRUE,Shelter,"Operates at its full capacity of 212 men a night. The shelter is open 365 nights a year from 6:30 p.m. to 7:30 a.m. and during the day for medical convalescent care. During the winter months, they have arrangements with eight local churches to provide space for an additional 34 men a night. To access services, visit the Lazarus Day Center at 416 2nd Avenue before 7:00 p.m. daily. ","Everday, arrive before 7pm",Verified 03/2014,http://www.ccsww.org/site/PageServer?pagename=homeless_stmartin
47.6005433,-122.3305826,Union Gospel Mission,206-622-5177,,"318 Second Ave. Ext. S; Seattle, WA 98104",,,,TRUE,Shelter,"Shelter for men, no fee, following chapel at 7 p.m. 110 mats available. ",,Verified 03/2014,http://www.ugm.org/
47.5953335,-122.3254694,William Booth Center,206-621-0145,,"811 Maynard Ave. S., Seattle 98134",,,,TRUE,Shelter,"Men's facility. Breathalizer, drug test required. Several options:

Limited number of emergency beds.
Dormitory-style transitional shelter, $70/week, bunk bed plus locker (6 month limit, meals not provided).
Transitional housing at 30% of gross income. Case manager available.",,Verified 03/2014,
47.5999035,-122.3345959,Bread of Life Mission,206-682-3579,,"97 S Main St, Seattle, WA 98104",,,,TRUE,Shelter,"In Pioneer Square neighborhood. Day Shelter every Monday through Friday from 10 a.m. to 4 p.m (men, women, and children). Mail Services, clothing, lockers (minimal fee), media center (computers with internet access and television), Metro bus passes, hot lunch, social services and referrals.

Night shelter (men only). ",,Verified 03/2014,http://www.breadoflifemission.org/
47.5971472,-122.3179521,Seattle Indian Center,206-329-8700,,"611 12th Ave. S., Suite 300, Seattle 98144",,,,TRUE,Shelter,"Sea’ Sha Inn (men’s hostel), 7 nights a week, 7 p.m. to 7 a.m.; cots & blankets, shower, kitchen, TV; free local calls, continental breakfast.","Everyday, arrive before 7pm",Verified 03/2014,http://seattleindian.org/community-services/
47.6133805,-122.3284804,Salvation Army Women's Shelter,206-447-9944,,"1101 Pike Street, Seattle 98101",,,,TRUE,Shelter,Shelter for single women age 18+.,,Verified 03/2014,
47.6132035,-122.3417711,Noel House Women's Referral Center ,206-441-3210 ,,"2030 3rd Ave., Seattle, 98121",,,,TRUE,Shelter,"Women only shelter, 18+, 40 beds, referrals to other shelters. Evening meals. Doesn't turn away women with mental/physical disabilities or addiction issues. Open registration nightly 6-8 p.m.","Everyday, register between 6 and 8 pm",Verified 03/2014,http://www.ccsww.org/site/PageServer?pagename=homeless_noelhouse
47.6152862,-122.3445764,Church of Mary Magdalene / Mary's Place,206-621-8474 ,,"314 Bell St, Seattle, WA 98121",,,,TRUE,Shelter,"The Rotating Night Shelter accommodates fourteen people (5-6 families) from Mary’s Place, moves to 13 different faith communities, each congregation hosting one week per quarter, four weeks per year.

Emergency Family Night Shelter (EFS), in partnership with the Union Gospel Mission, is an emergency night shelter for up to 48 women and children from Mary’s Place who are waiting to be referred to a longer-term night shelter. ",,Verified 03/2014,http://www.marysplaceseattle.org/
47.6023597,-122.3179471,YWCA,206-461-4888 ,,"1025 E Fir St., Seattle, WA 98122",,,,TRUE,Shelter,YWCA Emergency Shelter: The YWCA provides a safe haven for women and their children fleeing domestic violence. All women 18 years old and their children are eligible. No boys over the age of 17. Women undergo an intensive telephone screening by calling the number above to determine if this shelter will meet their needs. ,,Verified 03/2014,https://www.ywcaworks.org/page.aspx?pid=395
47.6152862,-122.3445764,Julia’s Place Night Shelter (operated by Mary's Place),206-621-8474 ,,"314 Bell St, Seattle, WA 98121",,,,TRUE,Shelter,"Julia’s Place Night Shelter is operated by Mary's place and hosted at the Madrona Grace Church. Five intact families (men, women and children) from Mary’s Place can stay overnight while waiting for permanent housing. ",,Verified 03/2014,http://www.marysplaceseattle.org/
47.616322,-122.335208,Urban Rest Stop,206-332-0110,,"1924 Ninth Ave; Seattle, WA 98101",,,,TRUE,Hygiene,"Free showers and laundry facilities for homeless and low income. Will lend coveralls for patrons who have nothing to wear while doing laundry.

Free hygiene supplies such as soap, toothbrushes, diapers, feminine hygiene supplies, etc.","Mon-Thu: 5:30 am - 9:30 pm, Fri: 5:30 am - 11 am, 2 pm - 9:30 pm, Sat-Sun: June 1 - Sept 30: 8 am - 5 pm, Sat-Sun: Oct 1 - May 31: 8 am - 3 pm. Closed holidays.",Verified 11/2015,https://urbanreststop.org/
47.6702047,-122.3827146,Urban Rest Stop,206-258-3626,,"2014-B NW 57th St., Seattle, WA 98145",,,,TRUE,Hygiene,"Free showers and laundry facilities for homeless and low income. Will lend coveralls for patrons who have nothing to wear while doing laundry.

Free hygiene supplies such as soap, toothbrushes, diapers, feminine hygiene supplies, etc.

Directions: Entrance to left of Cheryl Chow Court entrance, at 2014-B NW 57th St.","Mon-Fri 6:30 am- 2:30 pm. Closed weekends, holidays.",Verified 11/2015,https://urbanreststop.org/
47.6592443,-122.3123559,Urban Rest Stop,206-327-0744,,"1415 NE 43rd St (rear), Seattle, WA 98145",,,,TRUE,Hygiene,"Free showers and laundry facilities for homeless and low income. Will lend coveralls for patrons who have nothing to wear while doing laundry.

Free hygiene supplies such as soap, toothbrushes, diapers, feminine hygiene supplies, etc.

Directions: the entrance is on the alley that runs from NE 42nd Street to NE 43rd Street between 15th Ave NE and University Way NE. It is in the back of University Methodist Temple. If you come north from 42nd Street, go past the Allegro coffeeshop, and look for the blue handrails on the right.","Tue-Thu: 9:00 am - 12 noon, 1:00 pm - 6:00 pm, Fri: 9:00 am - 12 noon, 1:00 pm - 5:30 pm. Closed Mondays, weekends, holidays.",Verified 11/2015,https://urbanreststop.org/
47.6802132,122.3283188,Greenlake Community Center,206-684-0780 ,,"7201 East Greenlake Drive N., Seattle 98115",,,,TRUE,Hygiene,Free showers. Enter through lobby.,"Mon-Fri: 10 am - 8 pm, Sat: 9 am - 4:30 pm. Closed Sundays and holidays.",Verified 08/2014,
47.6007037,-122.3352928,Compass Housing Alliance ,206-357-3100,Extensions: 1-Housing; 2-Banking; 3-Hygiene; 4-Donation; 5-Other,"77 S. Washington, Seattle, WA 98104",,,,TRUE,Hygiene,Showers and laundry. Please call for schedule. ,,Verified 9/09,http://www.compasshousingalliance.org/
47.6005433,-122.3305826,Union Gospel Mission,206-622-5177,,"318 Second Ave. Ext. S; Seattle, WA 98104",,,,TRUE,Hygiene,Free showers (men only),"Mon-Fri, except last Thursday of each month. Hygiene supplies availlable betwee 2 - 5 pm",Verified 01/10,http://www.ugm.org/
47.6021662,-122.3311207,Connections,206-515-1555 ,,"505 Third Ave, Seattle 98104",,,,TRUE,Hygiene,"Free showers, hygiene supplies, laundry, & computer use for homeless individuals actively seeking employment & willing to sign-up for program.",Everyday: 7 am - 7 pm,Verified 1/07,http://www.desc.org/
47.6140571,-122.350239,Millionair Club Charity,206-728-JOBS,206-728-5627,"2515 Western Ave.; Seattle, WA 98121",,,,TRUE,Hygiene,"Free showers, laundry (soap, towels, detergent provided). NOTE: Showers are only for people who are signed up for their day labor program. ",Mon-Fri: 6:30 am - 2:30 pm ,Verified 1/07,
